what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1339656733192
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1339656736641
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339656738403
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339656856349
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1339656856376
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1339656856623
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1339656871150
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1339656871895
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1339656880620
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1339656894909
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1339656903787
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1339656916234
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1339656916310
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1339656917651
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1339656917651
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1339656918597
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1339656918662
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1339656919466
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1339656919466
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1339656933130
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1339656933355
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1339656933437
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1339656945833
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1339656964349
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1339656971195
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1339656971614
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1339656980281
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1339656984412
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1339656994402
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1339656996144
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1339657005131
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1339657008344
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1339657009891
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1339657014677
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1339657019625
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339657021539
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339657029720
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339657054495
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1339657054524
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339657060163
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339657069631
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339657069726
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339657071344
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339657114895
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339657119103
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339660857542
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339660887801
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339660895165
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339661055940
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339661069912
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339661077566
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339661091472
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339661092792
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1339661096373
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339661096691
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339661104495
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339661114428
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339661129245
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339661164400
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339661172769
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1339661194433
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1339661195092
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1339661202423
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1339661211937
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1339661217514
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339661218654
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339661398578
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339661449534
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339661450692
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339661451114
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1339661451873
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1339661451958
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1339661452025
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1339661452072
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1340021516804
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1340021516806
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1340021516807
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1340021516807
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1340021516808
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1340021516809
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1340021516810
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1340021516811
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110928-1504,"org.eclipse.core.filebuffers",1340021516811
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1340021516812
started,bundle,org.eclipse.core.jobs,3.5.101.v20120113-1953,"org.eclipse.core.jobs",1340021516813
