what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jpt.jaxb.core,1.0.2.v201111103010,"org.eclipse.jpt.jaxb.core",1340022520327
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340022523705
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340022524443
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340022530990
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340022533013
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineEnd",1340022540926
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1340022541868
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1340022542440
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1340022545119
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1340022546636
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1340022547901
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340022549534
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340022551770
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340022554451
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1340022556599
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340022557891
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340022577699
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340022594250
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340022594510
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1340022596643
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340022597836
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340022605622
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1340022615172
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340022615903
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1340022615925
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340022660465
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340022661245
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340022664169
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1340022667898
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1340022668185
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1340022676152
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340022677696
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340022974291
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1340022998717
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1340023031018
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1340023041331
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1340023041836
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1340023044825
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1340023045149
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1340023047649
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340023049173
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340023059307
